code,name,nature
SH600862,中航高科,波段
SH601375,中原证券,波段
SZ301216,万凯新材,波段
SH688095,福昕软件,波段
SZ000828,东莞控股,波段
SH600010,包钢股份,波段
SH600782,新钢股份,波段
SZ002867,周大生,波段
SZ000683,博源化工,波段
SZ300741,华宝股份,波段
SH600116,三峡水利,波段
SH600977,中国电影,波段
SZ002701,奥瑞金,波段
SZ301256,华融化学,波段
SH688506,百利天恒,波段
SH603606,东方电缆,波段
SH688297,中无人机,波段
SH600816,建元信托,波段
SH600120,浙江东方,波段
SH600528,中铁工业,波段
SH688311,盟升电子,波段
SZ300888,稳健医疗,波段
SH600206,有研新材,波段
SH600673,东阳光,波段
SH600597,光明乳业,波段
SH600452,涪陵电力,波段
SH603225,新凤鸣,波段
SZ002155,湖南黄金,波段
SZ300720,海川智能,波段
SZ000555,神州信息,波段
SH601811,新华文轩,波段
SZ000301,东方盛虹,波段
SH600380,健康元,波段
SZ000709,河钢股份,波段
SZ000567,海德股份,波段
SZ002797,第一创业,波段
SH600928,西安银行,波段
SH601577,长沙银行,波段
SH601607,上海医药,波段
SH601568,北元集团,波段
SZ002372,伟星新材,波段
SH600918,中泰证券,波段
SH603355,莱克电气,波段
SZ301039,中集车辆,波段
SH688590,新致软件,波段
SH601880,辽港股份,波段
SH600688,上海石化,波段
SZ002698,博实股份,波段
SH688295,中复神鹰,波段
SH688778,厦钨新能,波段
SZ300782,卓胜微,波段
SZ002851,麦格米特,波段
SZ002078,太阳纸业,波段
SH688586,江航装备,波段
SZ300718,长盛轴承,波段
SH600167,联美控股,波段
SH600155,华创云信,波段
SZ000758,中色股份,波段
SH601595,上海电影,波段
SZ002158,汉钟精机,波段
SH600998,九州通,波段
SZ002850,科达利,波段
SZ300251,光线传媒,波段
SH601696,中银证券,波段
SH600995,南网储能,波段
SH601555,东吴证券,波段
SH600123,兰花科创,波段
SH688097,博众精工,波段
SZ300077,国民技术,波段
SH600641,万业企业,波段
SZ002500,山西证券,波段
SH601456,国联民生,波段
SH603055,台华新材,波段
SZ300627,华测导航,波段
SH600259,广晟有色,波段
SZ301268,铭利达,波段
SH605090,九丰能源,波段
SZ002011,盾安环境,波段
SZ000636,风华高科,波段
SH601717,中创智领,波段
SZ002508,老板电器,波段
SZ000009,中国宝安,波段
SH603009,北特科技,波段
SZ002979,雷赛智能,波段
SH603156,养元饮品,波段
SH600299,安迪苏,波段
SZ000534,万泽股份,波段
SZ300558,贝达药业,波段
SH600737,中粮糖业,波段
SZ300751,迈为股份,波段
SH600157,永泰能源,波段
SH688772,珠海冠宇,波段
SZ300857,协创数据,波段
SH603899,晨光股份,波段
SH600426,华鲁恒升,波段
SH688190,云路股份,波段
SZ301035,润丰股份,波段
SH601969,海南矿业,波段
SZ002673,西部证券,波段
SH601106,中国一重,波段
SZ300493,润欣科技,波段
SH688235,百济神州-U,波段
SH603283,赛腾股份,波段
SZ300054,鼎龙股份,波段
SZ300679,电连技术,波段
SZ002312,川发龙蟒,波段
SH600662,外服控股,波段
SZ300146,汤臣倍健,波段
SZ002945,华林证券,波段
SH600867,通化东宝,波段
SH600511,国药股份,波段
SH600328,中盐化工,波段
SZ000657,中钨高新,波段
SH600871,石化油服,波段
SH688275,万润新能,波段
SZ301021,英诺激光,波段
SZ002138,顺络电子,波段
SH688677,海泰新光,波段
SH601966,玲珑轮胎,波段
SH601200,上海环境,波段
SZ000729,燕京啤酒,波段
SZ002507,涪陵榨菜,波段
SZ001213,中铁特货,波段
